,2_features,4_features,6_features,8_features,10_features
roc_auc,0.8036221903395504,0.8309527908724466,0.8114524151123865,0.8666165197786432,0.8783804058208651
f1_macro,0.7969497869006619,0.7969497869006619,0.7969497869006619,0.8172372010392308,0.8034749920291638
accuracy,0.8021739130434783,0.8021739130434783,0.8021739130434783,0.8217391304347826,0.8119565217391305
recall,0.789764705882353,0.789764705882353,0.789764705882353,0.7897647058823528,0.7956470588235295
precision,0.8587556712647227,0.8587556712647227,0.8587556712647227,0.894772458669809,0.8835728790495221
jaccard,0.6924088649134021,0.6924088649134021,0.6924088649134021,0.7166672335851508,0.7088845858760989
best_estimator,"SVC(C=1, kernel='linear', random_state=3030)","SVC(C=1, kernel='linear', random_state=3030)","SVC(C=1, kernel='linear', random_state=3030)","SVC(C=1, kernel='poly', random_state=3030)","SVC(C=10, kernel='linear', random_state=3030)"
